,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,fort-shevchenko,36,KZ,1551058838,100,44.51,50.26,28.12,12.77
282,belmonte,0,PT,1551058839,75,40.36,-7.35,34.74,2.26
283,prince rupert,1,CA,1551056400,40,54.32,-130.32,37.4,4.16
284,port keats,0,AU,1551058840,82,-14.25,129.55,92.65,0.58
285,gornopravdinsk,76,RU,1551058840,78,60.06,69.92,17.1,9.31
286,carballo,0,ES,1551056400,87,43.21,-8.69,53.6,6.93
287,bitung,20,ID,1551056400,74,1.44,125.19,84.2,4.7
288,talnakh,80,RU,1551058842,73,69.49,88.39,5.26,7.74
289,beyneu,92,KZ,1551058842,93,45.32,55.19,31.95,10.98
290,yarim,0,YE,1551058842,73,14.3,44.38,39.28,1.59
291,aksu,0,KZ,1551056400,91,52.04,76.93,-5.81,4.47
292,candido mendes,92,BR,1551058843,100,-1.45,-45.72,78.52,9.53
293,preobrazheniye,0,RU,1551058844,39,42.9,133.91,31.41,5.61
294,caravelas,0,BR,1551058844,100,-17.73,-39.27,83.7,17.02
295,mitropoli,90,GR,1551055800,47,39.34,21.84,35.6,9.17
296,lufilufi,90,WS,1551056400,83,-13.87,-171.6,82.4,12.75
297,ketchikan,1,US,1551055980,19,55.34,-131.65,37.4,8.05
298,vavuniya,64,LK,1551058764,83,8.76,80.5,78.39,4.38
299,doha,0,QA,1551056400,68,25.29,51.53,68.0,12.75
300,kabompo,0,ZM,1551058847,86,-13.6,24.21,61.87,3.6
301,bandarbeyla,92,SO,1551058848,100,9.49,50.81,77.71,15.46
302,taormina,40,IT,1551056100,66,37.85,15.29,51.8,1.12
303,moranbah,0,AU,1551058849,42,-22.0,148.04,87.97,14.0
304,grove city,40,US,1551057360,63,39.88,-83.09,37.4,31.09
305,nelson bay,20,AU,1551056400,47,-32.72,152.14,77.0,13.87
306,tasiilaq,92,GL,1551055800,92,65.61,-37.64,32.0,49.44
307,arman,68,RU,1551058583,52,59.7,150.17,3.24,6.06
308,brae,80,GB,1551055800,93,60.4,-1.35,46.4,14.99
309,soyo,64,AO,1551058852,96,-6.13,12.37,75.91,2.82
310,kununurra,0,AU,1551057180,63,-15.77,128.74,91.4,5.82
311,new kensington,90,US,1551057300,55,40.57,-79.76,37.4,21.92
312,kinwat,0,IN,1551058854,41,19.62,78.2,74.7,4.05
313,rio gallegos,40,AR,1551056400,65,-51.62,-69.22,46.4,20.8
314,severo-kurilsk,64,RU,1551058854,100,50.68,156.12,23.04,7.29
315,koutsouras,92,GR,1551058855,100,35.03,25.95,57.51,18.48
316,kabalo,24,CD,1551058855,89,-6.05,26.92,69.21,2.26
317,beloha,0,MG,1551058856,90,-25.17,45.06,69.75,2.37
318,ostrovnoy,92,RU,1551058856,96,68.05,39.51,33.21,14.23
319,vila franca do campo,75,PT,1551056400,87,37.72,-25.43,53.6,16.11
320,eyl,68,SO,1551058857,100,7.98,49.82,75.15,15.23
321,camopi,68,GF,1551058859,91,3.17,-52.33,73.21,3.15
322,cowra,8,AU,1551058859,71,-33.84,148.69,74.61,4.16
323,kenmare,24,IE,1551058561,94,51.88,-9.58,50.35,14.23
324,asifabad,8,IN,1551058861,62,19.38,79.29,74.25,3.71
325,kawalu,0,ID,1551058861,79,-7.38,108.21,79.15,2.59
326,souillac,75,FR,1551056400,100,45.6,-0.6,42.8,5.17
327,coquimbo,0,CL,1551056400,82,-29.95,-71.34,62.6,6.93
328,newcastle,92,ZA,1551058574,100,-27.76,29.92,58.81,2.93
329,viedma,0,AR,1551058864,51,-40.81,-62.99,54.22,19.37
330,huaral,0,PE,1551056400,78,-11.5,-77.21,75.2,10.29
331,pedernales,80,EC,1551058865,98,0.07,-80.05,72.09,2.93
332,cidreira,100,BR,1551058866,100,-30.17,-50.22,70.11,1.48
333,kovdor,24,RU,1551058866,86,67.56,30.47,23.8,4.72
334,carupano,68,VE,1551058867,90,10.67,-63.26,76.36,13.44
335,auki,0,NG,1551058867,42,12.18,6.51,63.13,6.4
336,oyama,75,JP,1551057480,58,36.31,139.8,53.6,5.82
337,gerash,0,IR,1551056400,76,27.67,54.14,48.2,5.39
338,pilot butte,20,CA,1551056400,68,50.48,-104.42,-14.81,8.05
339,berlevag,88,NO,1551058870,97,70.86,29.09,36.22,17.25
340,chingirlau,76,KZ,1551058871,73,51.09,54.08,10.35,3.15
341,pisco,90,PE,1551056400,78,-13.71,-76.2,75.2,4.7
342,camabatela,68,AO,1551058872,92,-8.19,15.37,61.51,2.71
343,vostok,68,RU,1551058873,63,46.45,135.83,20.7,5.17
344,khorol,48,UA,1551058873,86,49.78,33.27,20.43,10.65
345,yunyang,0,CN,1551058873,71,32.84,110.81,48.15,3.71
346,sao joao da barra,20,BR,1551058874,95,-21.64,-41.05,83.38,14.67
347,ola,56,RU,1551058875,100,59.58,151.3,3.78,6.62
348,xai-xai,92,MZ,1551058876,100,-25.04,33.64,77.17,4.5
349,east millcreek,1,US,1551057300,64,40.7,-111.81,44.6,13.87
350,northam,20,GB,1551055800,75,51.04,-4.21,41.0,8.05
351,seymchan,64,RU,1551058878,63,62.93,152.39,-9.1,11.54
352,mokhsogollokh,64,RU,1551058879,61,61.4,128.95,3.78,3.6
353,kamenka,80,RU,1551058879,89,53.19,44.05,19.03,10.65
354,puerto madryn,0,AR,1551058821,95,-42.77,-65.04,53.23,25.86
355,hurricane,1,US,1551056160,34,37.18,-113.29,48.2,2.93
356,statesboro,1,US,1551057300,33,32.45,-81.78,68.0,8.05
357,lorengau,36,PG,1551058881,95,-2.02,147.27,83.92,6.85
358,constitucion,40,MX,1551055380,5,23.99,-104.67,69.8,14.99
359,tilichiki,0,RU,1551058882,70,60.47,166.1,0.72,3.71
360,sorada,24,IN,1551058883,95,19.76,84.43,69.48,0.92
361,eureka,90,US,1551056100,87,40.8,-124.16,50.0,9.17
362,slavyanka,0,RU,1551058884,89,42.86,131.39,35.32,9.08
363,port-gentil,92,GA,1551058884,96,-0.72,8.78,81.67,5.84
364,skjervoy,88,NO,1551058885,99,70.03,20.97,38.61,21.27
365,abdanan,0,IR,1551058885,80,32.99,47.42,30.69,2.15
366,ancud,0,CL,1551056400,75,-41.87,-73.83,46.4,6.93
367,san antonio,0,CL,1551056400,82,-33.58,-71.61,57.2,6.93
368,beringovskiy,8,RU,1551058888,80,63.05,179.32,26.05,8.52
369,jalingo,80,NG,1551058889,75,10.3,10.93,74.83,10.09
370,saint-augustin,0,FR,1551056400,93,44.83,-0.61,42.8,2.24
371,poum,0,MK,1551058890,77,41.28,20.71,6.7,1.36
372,savannah bight,0,HN,1551058891,95,16.45,-85.85,80.1,22.28
373,franklin,40,US,1551057300,31,35.93,-86.87,46.4,4.7
374,bandar-e lengeh,0,IR,1551058893,98,26.56,54.88,70.83,12.77
375,muisne,92,EC,1551058894,94,0.61,-80.02,73.12,2.71
376,sitka,20,US,1551058894,67,37.17,-99.65,36.4,13.22
377,zorritos,75,PE,1551056400,33,-3.68,-80.68,89.6,3.36
378,rio grande,92,BR,1551058617,100,-32.03,-52.1,71.77,10.87
379,caibarien,20,CU,1551055800,78,22.52,-79.47,75.2,8.05
380,waipawa,92,NZ,1551058896,92,-39.94,176.59,53.86,14.45
381,guaratingueta,75,BR,1551056400,88,-22.82,-45.19,75.2,2.24
382,geraldton,90,CA,1551056400,78,49.72,-86.95,15.8,21.92
383,bogacs,32,HU,1551058897,74,47.9,20.53,23.62,2.26
384,rawson,0,AR,1551058679,47,-43.3,-65.11,47.2,14.79
385,solnechnyy,48,RU,1551058898,58,50.72,136.64,15.07,3.71
386,narok,88,KE,1551058899,97,-1.09,35.87,56.61,3.15
387,karratha,0,AU,1551058899,24,-20.74,116.85,104.85,4.61
388,south venice,90,US,1551056700,100,27.05,-82.42,75.2,3.36
389,uray,76,RU,1551058900,79,60.13,64.8,19.57,7.4
390,manta,0,RO,1551058901,74,45.1,24.1,11.43,3.15
391,llanes,0,ES,1551058901,77,43.42,-4.75,35.86,4.05
392,yeppoon,0,AU,1551056400,39,-23.13,150.74,84.2,14.99
393,longyearbyen,40,NO,1551055800,64,78.22,15.63,1.4,12.75
394,matagami,24,NG,1551058903,97,9.67,8.4,64.66,3.94
395,ust-nera,0,RU,1551058903,48,64.57,143.24,-32.23,2.37
396,albanel,90,CA,1551056400,92,48.88,-72.44,23.0,12.75
397,baykit,68,RU,1551058904,71,61.68,96.39,19.26,11.77
398,jobner,0,IN,1551056400,67,26.97,75.39,57.2,2.24
399,kumbo,44,CM,1551058906,92,6.21,10.69,62.5,2.59
400,spirit river,5,CA,1551056400,76,55.78,-118.84,-9.41,4.7
401,mountain home,90,US,1551056280,75,43.13,-115.69,44.6,12.75
402,puerto del rosario,0,ES,1551056400,88,28.5,-13.86,62.6,5.82
403,sur,0,OM,1551058882,96,22.57,59.53,71.01,6.17
404,hobyo,8,SO,1551058909,88,5.35,48.53,76.14,13.56
405,anadyr,0,RU,1551056400,78,64.73,177.51,14.0,4.47
406,tuatapere,12,NZ,1551058910,85,-46.13,167.69,57.46,10.65
407,baoro,76,CF,1551058910,76,5.69,15.95,73.75,2.93
408,kavieng,8,PG,1551058911,100,-2.57,150.8,83.38,7.52
409,dois vizinhos,8,BR,1551058911,89,-25.75,-53.06,72.4,4.05
410,miura,75,JP,1551056400,62,35.17,139.64,57.2,10.29
411,san patricio,88,PY,1551058912,98,-26.98,-56.83,72.22,5.06
412,beri,0,IN,1551058912,48,25.9,79.89,64.89,4.94
413,tarsus,20,TR,1551055800,87,36.92,34.88,46.4,3.36
414,saint augustine,20,TT,1551056400,94,10.65,-61.4,73.4,13.33
415,emerald,40,AU,1551056400,37,-23.53,148.16,84.2,14.99
416,teknaf,56,BD,1551058914,80,20.86,92.31,76.0,5.28
417,sabae,75,JP,1551056400,57,35.95,136.19,51.8,10.29
418,baruun-urt,0,MN,1551058915,40,46.68,113.28,27.22,7.63
419,huntington,1,US,1551056640,81,40.87,-73.43,46.4,16.11
420,polyarnyy,75,RU,1551056400,100,69.2,33.45,33.8,4.47
421,valparaiso,1,US,1551057300,67,41.47,-87.06,26.6,27.51
422,uyuni,92,BO,1551058746,82,-20.46,-66.82,47.79,2.04
423,guthrie,1,US,1551057300,42,35.88,-97.43,48.2,6.93
424,bhigvan,0,IN,1551058919,33,18.32,74.77,71.05,3.38
425,hamilton,75,BM,1551056100,94,32.3,-64.78,68.0,18.34
426,bloomingdale,75,US,1551057300,73,41.96,-88.08,21.2,31.09
427,cockburn town,0,TC,1551058920,97,21.46,-71.14,77.71,19.04
428,dali,8,CN,1551058921,57,25.6,100.24,59.26,2.59
429,havoysund,75,NO,1551055800,93,71.0,24.66,35.6,20.8
430,agirish,80,RU,1551058923,84,61.92,63.02,22.5,5.73
431,manggar,32,ID,1551058924,94,-2.88,108.27,85.59,4.38
432,kholm,0,RU,1551058924,85,57.15,31.18,30.82,14.34
433,marawi,0,PH,1551058924,44,8.0,124.29,82.89,3.15
434,golspie,88,GB,1551055800,66,57.97,-3.98,55.4,9.17
435,mulege,0,MX,1551058925,81,26.88,-111.98,51.43,6.17
436,aurad,0,IN,1551058926,35,18.25,77.42,73.53,0.69
437,nishihara,75,JP,1551056400,46,35.74,139.53,55.4,4.7
438,cayenne,92,GF,1551056400,74,4.94,-52.33,78.8,10.29
439,leshukonskoye,80,RU,1551058929,89,64.9,45.76,30.78,7.07
440,teya,20,MX,1551055440,88,21.05,-89.07,80.6,11.41
441,shingu,40,JP,1551056400,58,33.72,135.99,57.2,5.82
442,vangaindrano,88,MG,1551058923,99,-23.35,47.6,69.88,2.82
443,susangerd,0,IR,1551056400,72,31.56,48.19,59.0,4.7
444,navolato,75,MX,1551055500,49,24.76,-107.7,73.4,5.82
445,mount gambier,12,AU,1551056400,15,-37.83,140.78,91.4,17.22
446,kimbe,12,PG,1551058933,96,-5.56,150.15,84.01,2.48
447,mayo,40,CA,1551056400,60,63.59,-135.9,5.0,3.38
448,foz,0,ES,1551058935,89,43.57,-7.26,55.03,6.4
449,kuryk,68,KZ,1551058935,93,43.18,51.68,35.5,12.66
450,chake chake,48,TZ,1551058935,100,-5.25,39.77,82.35,11.21
451,saint-louis,0,CH,1551056400,80,47.59,7.56,39.2,2.93
452,russell,0,AR,1551056400,43,-33.01,-68.8,71.6,3.36
453,roma,0,IT,1551056100,35,41.89,12.48,41.0,5.82
454,rocha,12,UY,1551058746,88,-34.48,-54.34,57.01,2.59
455,bilma,12,NE,1551058937,38,18.69,12.92,46.89,9.86
456,naryan-mar,88,RU,1551058938,91,67.67,53.09,29.61,15.01
457,portsmouth,0,GB,1551055800,60,50.8,-1.08,41.0,4.7
458,roura,92,GF,1551056400,74,4.73,-52.33,78.8,10.29
459,thanh hoa,0,VN,1551056400,74,10.21,106.33,80.6,4.7
460,eldorado,75,MX,1551055500,49,24.32,-107.36,73.4,5.82
461,codrington,90,AU,1551056400,60,-28.95,153.24,77.0,16.11
462,tongling,56,CN,1551058940,79,30.93,117.81,51.16,4.16
463,dingle,0,PH,1551058941,54,11.0,122.67,84.91,11.21
464,lilongwe,8,MW,1551058941,90,-13.97,33.79,54.22,2.93
465,mitu,0,IR,1551058942,70,36.2,46.09,13.5,1.7
466,marrakesh,0,MA,1551056400,44,31.63,-7.99,57.2,3.36
467,vitim,68,RU,1551058943,69,59.44,112.57,17.55,5.17
468,nantucket,90,US,1551057300,100,41.28,-70.1,44.6,16.11
469,pingdingshan,56,CN,1551058747,73,33.74,113.3,49.59,4.5
470,beni suef,0,EG,1551058944,50,29.07,31.1,50.76,12.44
471,pishin,0,PK,1551058944,81,30.58,67.0,24.21,4.5
472,izumo,75,JP,1551056400,70,35.37,132.75,50.0,5.82
473,maumere,12,ID,1551058945,96,-8.63,122.22,84.82,2.37
474,morant bay,20,JM,1551056400,61,17.88,-76.41,80.6,14.99
475,sinnamary,100,GF,1551058946,95,5.38,-52.96,78.88,12.44
476,neiafu,75,TO,1551056400,70,-18.65,-173.98,86.0,11.41
477,lahaina,20,US,1551056160,53,20.87,-156.68,80.6,16.11
478,pontes e lacerda,8,BR,1551058947,80,-15.23,-59.33,75.46,5.28
479,aitape,20,PG,1551058949,86,-3.15,142.36,83.61,3.6
480,jhargram,64,IN,1551058949,89,22.45,86.99,69.52,5.73
481,coihaique,0,CL,1551056400,75,-45.58,-72.07,46.4,5.82
482,neuquen,0,AR,1551056400,18,-38.95,-68.06,64.4,9.17
483,shu,0,KZ,1551058951,63,43.6,73.76,22.59,2.59
484,mweka,32,CD,1551058951,92,-4.85,21.56,71.05,1.92
485,leh,24,IN,1551058951,45,34.16,77.58,-18.05,0.92
486,udachnyy,36,RU,1551058952,74,66.42,112.4,-0.91,5.61
487,kyshtovka,68,RU,1551058952,85,56.56,76.62,13.68,12.66
488,zyryanka,24,RU,1551058953,64,65.73,150.89,-14.5,2.71
489,bubaque,0,GW,1551058953,100,11.28,-15.83,75.6,2.82
490,binga,0,ZW,1551058954,91,-17.62,27.34,70.87,1.7
491,omboue,44,GA,1551058954,100,-1.57,9.26,82.3,6.73
492,trenggalek,8,ID,1551058954,81,-8.05,111.71,82.71,2.93
493,carutapera,92,BR,1551058955,98,-1.2,-46.02,76.41,4.83
494,guymon,1,US,1551057300,36,36.68,-101.48,44.6,12.75
495,puerto castilla,0,ES,1551058956,81,40.29,-5.63,30.24,2.37
496,oranjestad,20,AW,1551056400,74,12.52,-70.03,78.8,20.8
497,tiznit,0,MA,1551058957,58,29.7,-9.73,54.63,3.15
498,villa carlos paz,0,AR,1551056400,93,-31.42,-64.5,64.4,4.7
499,beaverlodge,5,CA,1551056400,76,55.21,-119.43,-9.41,4.7
500,quatre cocos,75,MU,1551056400,83,-20.21,57.76,80.6,4.7
501,miri,32,NG,1551058959,96,10.31,9.75,64.89,4.16
502,colares,0,PT,1551056400,66,38.8,-9.45,55.4,3.36
503,angoche,8,MZ,1551058960,100,-16.23,39.91,81.54,3.94
504,teahupoo,75,PF,1551056400,66,-17.83,-149.27,87.8,11.41
505,ust-kuyga,48,RU,1551058960,33,70.0,135.55,-23.5,4.16
506,buin,0,CL,1551056400,23,-33.73,-70.74,75.2,12.75
507,urengoy,88,RU,1551058961,72,65.96,78.37,0.45,12.77
508,mehran,0,IR,1551056400,86,33.12,46.17,37.4,5.06
509,tura,0,IN,1551058962,70,25.52,90.21,66.33,3.15
510,vadso,36,NO,1551055800,86,70.07,29.75,33.8,19.46
511,nogliki,0,RU,1551058963,100,51.8,143.14,11.2,7.18
512,saint-leu,0,RE,1551056400,69,-21.15,55.28,80.6,8.05
513,camenca,36,MD,1551058965,78,47.82,27.37,17.55,7.74
514,oranjemund,24,ZA,1551058965,95,-28.55,16.43,62.86,15.68
515,mangai,24,CD,1551058965,89,-4.07,19.59,74.2,1.59
516,los llanos de aridane,0,ES,1551056400,42,28.66,-17.92,64.4,3.36
517,bataipora,24,BR,1551058966,92,-22.3,-53.27,72.9,4.94
518,la ronge,20,CA,1551056400,52,55.1,-105.3,-7.61,6.93
519,esperance,20,TT,1551056400,94,10.24,-61.45,73.4,4.61
520,maniitsoq,68,GL,1551058968,81,65.42,-52.9,9.22,4.16
521,arlit,0,NE,1551058969,36,18.74,7.39,52.74,8.97
522,great yarmouth,0,GB,1551055800,93,52.61,1.73,37.4,2.24
523,srednekolymsk,48,RU,1551058970,72,67.46,153.71,-16.84,4.61
524,waingapu,36,ID,1551058970,85,-9.65,120.26,84.24,3.71
525,srinagar,80,IN,1551058971,87,34.07,74.82,23.04,1.59
526,ornskoldsvik,0,SE,1551055800,48,63.29,18.72,44.6,34.45
527,gat,0,SN,1551056400,43,14.69,-16.54,71.6,10.29
528,yulin,68,CN,1551058972,79,38.3,109.75,38.2,4.72
529,shache,48,CN,1551058973,53,38.42,77.24,32.17,5.73
530,harpanahalli,0,IN,1551058973,42,14.8,75.98,73.48,8.63
531,lata,68,IN,1551058974,98,30.78,78.62,33.21,1.59
532,richmond,20,CA,1551057300,75,49.16,-123.14,44.6,12.75
533,lodingen,92,NO,1551055800,80,68.41,16.0,41.0,34.45
534,axim,68,GH,1551058976,100,4.87,-2.24,82.26,13.11
535,norman wells,90,CA,1551056400,65,65.28,-126.83,5.0,2.24
536,fairbanks,1,US,1551056280,56,64.84,-147.72,21.2,0.81
537,lodwar,36,KE,1551058977,86,3.12,35.6,70.56,2.04
538,sangar,8,RU,1551058977,73,63.92,127.47,-17.29,2.59
539,zalesovo,64,RU,1551058978,87,54.0,84.74,14.53,7.4
540,xichang,0,CN,1551058979,22,27.88,102.25,59.4,2.59
541,bergerac,0,FR,1551056400,100,44.85,0.49,33.8,4.7
542,mrakovo,76,RU,1551058979,79,52.72,56.62,9.9,3.15
543,barhi,40,IN,1551056400,87,24.31,85.42,57.2,3.36
544,savannakhet,40,TH,1551056400,78,16.57,104.76,75.2,2.24
545,poli,88,CM,1551058981,94,8.48,13.24,69.88,2.93
546,sisimiut,68,GL,1551058981,73,66.94,-53.67,-3.97,1.25
547,port hedland,0,AU,1551056400,63,-20.31,118.58,93.2,11.41
548,fenoarivo atsinanana,24,MG,1551058984,96,-17.38,49.41,72.58,2.15
549,nara,0,JP,1551056400,62,34.68,135.8,51.8,2.24
550,hami,0,CN,1551058985,63,42.84,93.51,28.53,7.74
551,xuddur,0,SO,1551058986,86,4.12,43.89,66.37,10.76
552,nam dinh,92,VN,1551058986,100,20.42,106.17,63.45,6.17
553,thinadhoo,36,MV,1551058986,98,0.53,72.93,83.79,11.88
554,marsh harbour,0,BS,1551058987,100,26.54,-77.06,75.33,9.42
555,chimbote,48,PE,1551058987,94,-9.08,-78.59,71.95,4.94
556,pyay,0,MM,1551058988,63,18.82,95.22,82.89,4.16
557,west bay,12,GB,1551055800,80,50.71,-2.76,33.8,3.36
558,dwarka,40,IN,1551056400,82,28.58,77.04,55.4,3.36
559,bardoli,0,IN,1551056400,88,21.12,73.11,62.6,2.59
560,flin flon,24,CA,1551058989,52,54.77,-101.88,-4.6,7.18
561,agadir,0,MA,1551056400,57,30.42,-9.58,51.8,6.93
